latitude,longitude,altitude,bearing
13.05464,80.12178,19.0,286.34613485707575
13.05471,80.12161,19.0,292.91327104356617
13.05511,80.12045,19.0,289.4928950087858
13.05537,80.11961,19.0,287.62704316087695
13.05541,80.1195,19.0,290.46986042896015
13.0558,80.11828,19.0,288.16762027935727
13.05601,80.11762,19.0,288.08840879644913
13.05608,80.1174,19.0,288.0883686796642
13.05642,80.11627,21.0,287.1644573557903
13.05654,80.11587,21.0,287.11686107072137
13.05661,80.11561,21.0,285.4495392245081
13.05667,80.11533,21.0,282.40595379509045
13.05672,80.11502,21.0,279.4012562860237
13.05676,80.11474,21.0,278.3429027124574
13.05678,80.11446,20.0,274.19369648720846
13.05679,80.11417,20.0,272.02733734790434
13.05679,80.11393,20.0,270.0000271101545
13.05678,80.11365,20.0,267.900386990908
13.05676,80.11327,20.0,266.90745095893783
13.05672,80.11254,20.0,266.78066014546533
13.0567,80.11195,21.0,268.00709580669945
13.05669,80.11161,21.0,268.27067084673024
13.0567,80.11125,21.0,271.6333858207581
13.0567,80.11103,21.0,270.0000248507947
13.0567,80.1108,21.0,270.00002598017545
13.0567,80.11075,21.0,270.00000564760256
13.05672,80.11039,23.0,273.26408076119833
13.05675,80.10993,23.0,273.8301866101462
13.05677,80.10973,23.0,275.861129800768
13.0568,80.10904,23.0,272.5556158761741
13.05683,80.10866,23.0,274.6333160265935
13.05687,80.10819,17.0,274.99302634813296
13.05692,80.1076,17.0,274.9719904109385
13.05702,80.10676,17.0,276.967502127002
13.05708,80.10611,23.0,275.4131209620175
13.05709,80.10601,23.0,275.8611261621505
13.05711,80.10582,23.0,276.1672979367847
13.05713,80.10559,23.0,275.10098108749463
13.05716,80.10522,23.0,274.7579774398432
13.05718,80.10478,23.0,272.67158797166303
13.05726,80.10274,23.0,272.30551446316167
13.05728,80.10236,23.0,273.09264113818074
13.05729,80.1021,23.0,272.26102806036954
13.05728,80.10176,20.0,268.27066672099875
13.05726,80.10142,20.0,266.5444405241759
13.05722,80.10106,20.0,263.4929962754637
13.05719,80.10088,20.0,260.29127624815555
13.05717,80.10075,20.0,261.0254500288448
13.05714,80.10057,20.0,260.2912781751804
13.0571,80.10039,20.0,257.1495911888939
13.05699,80.09998,19.0,254.6017806348479
13.05688,80.09952,19.0,256.20797245504093
